"Jahr","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","ProjStatus","ProjStatusSort","EigentumsartSort","Eigentumsart","AnzWhg"
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,9,"01301","Schipfe",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,10,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",4,"Natürliche Personen",0
2009,11,"01303","Stadthaus",13,"013","Lindenhof",1,"1","Kreis 1","Im Bau","6703",5,"Im Stockwerkeigentum",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",1,"Öffentliche Hand",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",2,"Wohnbaugenossenschaften",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",3,"Übrige private Gesellschaften",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",4,"Natürliche Personen",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Bewilligt","6702",5,"Im Stockwerkeigentum",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",1,"Öffentliche Hand",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",2,"Wohnbaugenossenschaften",0
2009,12,"01401","Bahnhofplatz",14,"014","City",1,"1","Kreis 1","Im Bau","6703",3,"Übrige private Gesellschaften",0
